    ,loss,accuracy,val_loss,val_accuracy

0,0.7077924609184265,0.638700008392334,0.7755786180496216,0.5604000091552734

1,0.580439031124115,0.697700023651123,0.6899035573005676,0.6606000065803528

2,0.5186986327171326,0.7376999855041504,0.49345698952674866,0.7645999789237976

3,0.48242270946502686,0.7688500285148621,0.43942201137542725,0.8062000274658203

4,0.4610034227371216,0.7813500165939331,0.6194375157356262,0.745199978351593

5,0.43317750096321106,0.7950500249862671,0.39505183696746826,0.8209999799728394

6,0.4099612832069397,0.8124499917030334,0.4012346863746643,0.8277999758720398

7,0.3864250183105469,0.8256499767303467,0.43007105588912964,0.829200029373169

8,0.37647005915641785,0.8313000202178955,0.3270863890647888,0.8555999994277954

9,0.3592708110809326,0.8395000100135803,0.28727975487709045,0.8751999735832214

