,loss,accuracy,val_loss,val_accuracy,lr

0,0.714836835861206,0.6462000012397766,0.643660843372345,0.6606000065803528,0.0010000000474974513

1,0.5644548535346985,0.713949978351593,0.4899863302707672,0.7612000107765198,0.0010000000474974513

2,0.5095669031143188,0.7472000122070312,0.497120201587677,0.75,0.0010000000474974513

3,0.47437265515327454,0.7743499875068665,0.44139188528060913,0.7924000024795532,0.0010000000474974513

4,0.4513618052005768,0.7860000133514404,0.5100510120391846,0.7731999754905701,0.0010000000474974513

"Embora a redu��o de plat� em alguns casos ofere�a um valor de accur�cia menor, em contra partida ele traz ao resultado final uma melhor avalia��o do ponto de vista ""Falso Verdadeiro"""
