,loss,accuracy,val_loss,val_accuracy

0,0.21098744869232178,0.9132000207901001,0.09911854565143585,0.9563999772071838

1,0.16897465288639069,0.9316999912261963,0.10000895708799362,0.9607999920845032

2,0.17065651714801788,0.9314500093460083,0.0970609188079834,0.9639999866485596

3,0.1575138121843338,0.9373999834060669,0.12808473408222198,0.9544000029563904

4,0.16031211614608765,0.9343000054359436,0.10077502578496933,0.9613999724388123

Neste caso temos um aumento significativo com rela��o a ultilizar tecnicas de transferencia de aprendizado, o pre-processamento de determinado modelo por um computador de maior potencia resulta em um modelo de aprendizado com capaciade de aprendizado bem maior que o normal
