,loss,accuracy,val_loss,val_accuracy,lr
0,0.6881793141365051,0.6672999858856201,0.6216050386428833,0.6776000261306763,0.0010000000474974513
1,0.5429642200469971,0.7293499708175659,0.45866698026657104,0.7851999998092651,0.0010000000474974513
2,0.4904997944831848,0.761650025844574,0.44117122888565063,0.7986000180244446,0.0010000000474974513
3,0.4553290009498596,0.7821999788284302,0.3936915397644043,0.8317999839782715,0.0010000000474974513
4,0.42529311776161194,0.8012999892234802,0.8525515794754028,0.7129999995231628,0.0010000000474974513
5,0.39911001920700073,0.8187500238418579,0.4187607765197754,0.8123999834060669,0.0010000000474974513
6,0.37985363602638245,0.8289999961853027,0.34429341554641724,0.8452000021934509,0.0010000000474974513
7,0.3623301386833191,0.8399999737739563,0.3959071636199951,0.8274000287055969,0.0010000000474974513
8,0.3476576805114746,0.8471999764442444,0.2831069231033325,0.8772000074386597,0.0010000000474974513
9,0.3358375132083893,0.8503000140190125,0.29391252994537354,0.8745999932289124,0.0010000000474974513
